Modifier,Model,Accuracy,Accuracy (std),Precision,Precision (std),Recall,Recall (std),F1-score,F1-score (std),ROC AUC,ROC AUC (std)
SMOTE,Homogeneous Ensemble,0.9035392213803008,0.0097799764654764,0.6450861744090912,0.03674259386799277,0.7526310137457044,0.037767792927991685,0.6936113998992239,0.025441113720756792,0.8931189240821125,0.028419691193946373
SMOTE,Heterogeneous Ensemble,0.8915368892130511,0.007106810169211153,0.5946698359194054,0.022271394590835367,0.7981851374570448,0.04517789702742963,0.6806117985546345,0.01913750247997767,0.8944201030927834,0.025507499089807695
SMOTEN,Homogeneous Ensemble,0.9204917811364588,0.0046995136750977735,0.7851246030101617,0.027333675955625348,0.6232710481099657,0.03611344534057804,0.6939168443279671,0.022856714445558174,0.8844150162778078,0.02478049965638916
SMOTEN,Heterogeneous Ensemble,0.9146413279846562,0.0052607302782672945,0.7545626568426492,0.04073782581518092,0.6150236254295532,0.04321945347536061,0.6756096908374163,0.022916516938893815,0.8839737444987039,0.02589801248225813
SVMSMOTE,Homogeneous Ensemble,0.9110399755077415,0.009009873024475246,0.68324766877831,0.03592891013835909,0.7256658075601374,0.04531960489991354,0.702587412240527,0.028388406511905495,0.8883585695876288,0.026227389288535952
SVMSMOTE,Heterogeneous Ensemble,0.8969393681537611,0.009885701752054176,0.6150530004849128,0.030751423948022757,0.7806378865979382,0.04730479217557887,0.6869676481032079,0.02730259772587685,0.8946721641948514,0.02215337137403802
KMeansSMOTE,Homogeneous Ensemble,0.926340658499579,0.007443570379727793,0.8018282897760528,0.04840784791078392,0.6595360824742268,0.05185630898491477,0.721188813590926,0.030731785912838733,0.8952370361578345,0.024953904093690443
KMeansSMOTE,Heterogeneous Ensemble,0.9198898298598447,0.007037561821945439,0.7530708645239016,0.038547102844383445,0.6698346219931272,0.039103866881957716,0.7076870700860244,0.025067527630599596,0.894795283957316,0.02362301524248044
BorderlineSMOTE,Homogeneous Ensemble,0.9042892967930449,0.009183185513462104,0.6533408665798031,0.03812408219302967,0.7330004295532646,0.03478871145653569,0.6896530664463151,0.02321843599608367,0.8917091415717128,0.02710760099572268
BorderlineSMOTE,Heterogeneous Ensemble,0.892739215977597,0.00870153389606029,0.5984175876395765,0.024866409063398907,0.7961125429553264,0.04059162437662128,0.6826071545676855,0.02366480994998332,0.8918742652378369,0.023868496894423333
