Modifier,Model,Accuracy,Accuracy (std),Precision,Precision (std),Recall,Recall (std),F1-score,F1-score (std),ROC AUC,ROC AUC (std)
SMOTE,Homogeneous Ensemble,0.8137630662020905,0.0588026338418263,0.8427191480017567,0.0669712004103724,0.8100790513833992,0.09568748735653658,0.8213455933437432,0.06209533493001826,0.9128128250468068,0.02873751809908903
SMOTE,Heterogeneous Ensemble,0.8475609756097562,0.04913746517556082,0.844550594333203,0.057628683932082064,0.8826086956521738,0.06500264080094653,0.8610354172834649,0.04521998795657571,0.9186129602662785,0.04427264921719309
SMOTEN,Homogeneous Ensemble,0.8140534262485483,0.048442499229144634,0.8247862431685962,0.06256151499883408,0.8373517786561264,0.07116847478801701,0.827953104493133,0.0459739346518017,0.8957897337216559,0.042207387510782846
SMOTEN,Heterogeneous Ensemble,0.8402439024390244,0.066711293322637,0.8321751436691466,0.07440303872840164,0.8871541501976286,0.0682058730551674,0.8567293615365686,0.05923215880398222,0.9087949864780528,0.05332855854720711
SVMSMOTE,Homogeneous Ensemble,0.7993031358885017,0.0529240906249574,0.8253835978835979,0.04766434684003945,0.8013833992094861,0.12443454255661693,0.8059601700404976,0.06666585864086064,0.8987050135219471,0.03947390217543542
SVMSMOTE,Heterogeneous Ensemble,0.8306620209059234,0.04014972900557275,0.823522711587929,0.03989298579430421,0.8737154150197629,0.06998642916415962,0.8460738214150751,0.04055062513154416,0.9177246723528188,0.03910599195439514
KMeansSMOTE,Homogeneous Ensemble,0.8138211382113821,0.06173423331202889,0.8471262395118229,0.04785413544150461,0.7964426877470356,0.1085266382707973,0.817400317799677,0.07183984913991953,0.907135167464115,0.042024100343575385
KMeansSMOTE,Heterogeneous Ensemble,0.8303716608594657,0.07467909117127981,0.8371614496614497,0.08120762223742843,0.8553359683794467,0.08364051036889467,0.843675543812368,0.06899828861521279,0.9100244435198668,0.04790047916840369
BorderlineSMOTE,Homogeneous Ensemble,0.7994773519163763,0.049845306691350115,0.8473792055897318,0.06485557473361978,0.7699604743083004,0.07792277350568023,0.8033900979910561,0.051446740644250075,0.887722852090701,0.05086379661217816
BorderlineSMOTE,Heterogeneous Ensemble,0.8401277584204413,0.053317600226070086,0.8373793959663525,0.045848327331809324,0.8739130434782609,0.08322387578830004,0.8531268045861016,0.05352353248300875,0.9116247139588101,0.037865729052014824
