Modifier,Model,Accuracy,Accuracy (std),Precision,Precision (std),Recall,Recall (std),F1-score,F1-score (std),ROC AUC,ROC AUC (std)
SMOTE,Homogeneous Ensemble,0.9285714285714286,0.03614031611621007,0.9461113856920926,0.02511590844756429,0.9419191919191918,0.03758675303445476,0.9438029176546434,0.028922112503765952,0.9708580031080031,0.017984835670155234
SMOTE,Heterogeneous Ensemble,0.9371428571428572,0.04481253468959464,0.9321103123782521,0.03781106782987597,0.9730808080808082,0.0385589109455229,0.9518885943112032,0.034562997951346104,0.9713922299922301,0.023892792552914054
SMOTEN,Homogeneous Ensemble,0.9314285714285715,0.02194613070819602,0.9313536324181229,0.022196009637877413,0.9642929292929292,0.022873881784940597,0.9473140857423127,0.017178420125484154,0.9772921134421134,0.013147106101855854
SMOTEN,Heterogeneous Ensemble,0.93,0.03525417908358019,0.9189986732281566,0.03334829079987211,0.9776262626262626,0.026552450917563516,0.9471461806187843,0.026168499930343397,0.9775923076923076,0.012651154845171115
SVMSMOTE,Homogeneous Ensemble,0.9257142857142856,0.035456210417116746,0.9462456236380037,0.021878146582170736,0.9375757575757575,0.050454621287897634,0.9411339753426574,0.029741763283314626,0.972089898989899,0.016352846914399616
SVMSMOTE,Heterogeneous Ensemble,0.9271428571428573,0.04259443290250164,0.927787936808439,0.0387662418687825,0.962020202020202,0.0331474769636885,0.9442881759739545,0.031989607560953065,0.9742337218337219,0.019965972532425276
KMeansSMOTE,Homogeneous Ensemble,0.93,0.028175832747594335,0.9409387077430502,0.028389473200808524,0.9509090909090909,0.027807880841851304,0.9455746373259808,0.022200545147206572,0.9732928515928517,0.017429986118735474
KMeansSMOTE,Heterogeneous Ensemble,0.9271428571428573,0.03285714285714288,0.9252834707874685,0.027155301844391713,0.9641919191919192,0.030483009295819322,0.9441523803667579,0.025501734269146,0.973703341103341,0.01659386954289092
BorderlineSMOTE,Homogeneous Ensemble,0.9214285714285715,0.033956755211442036,0.9417172930977976,0.024481097135691937,0.9353030303030303,0.04060584074517091,0.9381034863236838,0.027344286751901998,0.9696972804972805,0.020573113362082
BorderlineSMOTE,Heterogeneous Ensemble,0.9328571428571429,0.039408897783239194,0.9303130030219696,0.03825169995848128,0.9687878787878788,0.02480183680839995,0.9489313805899405,0.029135844900201442,0.9729804195804196,0.01670851391699423
