Modifier,Model,Accuracy,Accuracy (std),Precision,Precision (std),Recall,Recall (std),F1-score,F1-score (std),ROC AUC,ROC AUC (std)
SMOTE,Homogeneous Ensemble,0.8673003254457929,0.01756524659104463,0.8440417411273764,0.02952105880421478,0.8395833333333333,0.022276409628257568,0.8414527436407641,0.019921530236206682,0.9321101689000558,0.014317987659486395
SMOTE,Heterogeneous Ensemble,0.8815589192487625,0.01574683095498765,0.8477783099442325,0.02323479608842076,0.875,0.02012691214748532,0.8610008091199767,0.0181752472720988,0.94136953866555,0.014319400941207459
SMOTEN,Homogeneous Ensemble,0.8667155400366127,0.01466935668307435,0.8503252062198478,0.024322083240931727,0.8284722222222223,0.02240592472903011,0.8389727740972835,0.017565460861703883,0.9310512981574538,0.01549757844500354
SMOTEN,Heterogeneous Ensemble,0.87370414943386,0.016469086403959953,0.8539846398758456,0.02625102066724724,0.84375,0.028165694153712843,0.8484262622877721,0.019935911204091546,0.9389692908989391,0.014463961588527448
SVMSMOTE,Homogeneous Ensemble,0.869914061970303,0.014123001383045052,0.8334197426802902,0.02590733644504839,0.8631944444444445,0.019654127358451255,0.8476950492193194,0.015299344552876536,0.9299969988833056,0.014822652978034196
SVMSMOTE,Heterogeneous Ensemble,0.8748643975862771,0.017715528186710645,0.8347443633955456,0.026830203881677166,0.8756944444444444,0.02588145160220031,0.8543802276457446,0.020183641258069034,0.9411277917364599,0.014284065392616747
KMeansSMOTE,Homogeneous Ensemble,0.8707971726896737,0.0155941879669813,0.8544394957031584,0.021033455927963723,0.8340277777777778,0.023539515634275414,0.8439502254460388,0.019244033282857807,0.9302453325656057,0.013661233642031293
KMeansSMOTE,Heterogeneous Ensemble,0.8760356634348092,0.018534899855676395,0.8527811134810296,0.02843307747739632,0.8520833333333332,0.025048178884543644,0.8521377597093093,0.02173624654485744,0.9407341568955891,0.014850016371360488
BorderlineSMOTE,Homogeneous Ensemble,0.8643840260356634,0.015180397330567398,0.8286905809261824,0.029737422854330668,0.8548611111111111,0.029536347664078817,0.8408737696528471,0.016937764335498106,0.928548750697934,0.012644202564231825
BorderlineSMOTE,Heterogeneous Ensemble,0.8783527696793003,0.013131260567065265,0.8330494721309997,0.02410063359592374,0.888888888888889,0.01552824984374853,0.8597712415187946,0.013544056346011761,0.9408048576214405,0.011210348740295835
