Modifier,Model,Accuracy,Accuracy (std),Precision,Precision (std),Recall,Recall (std),F1-score,F1-score (std),ROC AUC,ROC AUC (std)
SMOTE,Homogeneous Ensemble,0.9251152073732719,0.0021261925722814053,0.04601879239270964,0.008540603492833004,0.1602849910174751,0.03356710037174971,0.07148366724462227,0.013598725932548308,0.7233625654199657,0.013627881325349422
SMOTE,Heterogeneous Ensemble,0.8669124423963133,0.005835409831360095,0.053925716796414114,0.0048035409038078404,0.38566878980891717,0.041639917955099706,0.0945930543708128,0.00850620250980949,0.7926725559397884,0.010997984454602643
SMOTEN,Homogeneous Ensemble,0.9802649769585253,0.0004187276922900182,0.04492386698269051,0.03981904958464909,0.004470847623713865,0.004084200776827985,0.008108181701301292,0.007370523784724287,0.6699049017812273,0.02474642008384587
SMOTEN,Heterogeneous Ensemble,0.935610599078341,0.004508554849493859,0.04566882960617054,0.007652135380203361,0.12906255103707331,0.025424455020179225,0.06733382066619606,0.011424734439008197,0.7226952560468556,0.01700477037194632
SVMSMOTE,Homogeneous Ensemble,0.960483870967742,0.0008259653607804049,0.05323248065099331,0.014031454142866162,0.07148456638902498,0.020614415517989308,0.06099092049663233,0.016698633291746843,0.7173742890489085,0.009738754364940145
SVMSMOTE,Heterogeneous Ensemble,0.9262557603686636,0.0028028559366476886,0.060379932174567094,0.0072933883594976665,0.2126081985954597,0.03193863766633575,0.093999459794653,0.011809990325197547,0.8097764501344649,0.008798500615971755
KMeansSMOTE,Homogeneous Ensemble,0.973041474654378,0.0044779966350991865,0.04158815537858987,0.016392346528204184,0.024269149109913436,0.017995481107615695,0.02902617006000967,0.0172705883146768,0.6831471099806407,0.02636402247907704
KMeansSMOTE,Heterogeneous Ensemble,0.9419815668202765,0.012183494292765405,0.05366907276064666,0.008231936545054889,0.13412542871141597,0.04879711692525012,0.07528373858335273,0.013252209145357918,0.7756960029574845,0.023458856135391764
BorderlineSMOTE,Homogeneous Ensemble,0.9577073732718894,0.0014865323044489028,0.051056594359021865,0.014141449441845753,0.07723746529479013,0.024855619697250853,0.06140191923826084,0.018033617630475333,0.7157187464107307,0.018831230052299305
BorderlineSMOTE,Heterogeneous Ensemble,0.896278801843318,0.003590350498842447,0.05978498542427502,0.004238883416588062,0.3224889759921607,0.0261577890521821,0.10084612243514515,0.0071618893927778,0.806724643825157,0.009197651156452588
